시나리오ID,화면명,우선순위,실행결과,심각도,실패원인,예상원인,재현경로,UI불일치여부,스크린샷경로,검토필요여부
SCR-00,로그인,P1,성공,,,,, N,,N
SCR-01,홈,P1,성공,,,,,N,,N
SCR-02,사건목록,P1,성공,,,,,N,,N
SCR-03,사건목록 > 의뢰인 요청,P1,성공,,,,,N,,N
SCR-04,사건목록 > 의뢰인 목록,P2,성공,,,,,N,,N
SCR-05,사건목록 > 편집자,P2,성공,,,,,N,,N
SCR-06,서면 작성 에디터,P1,실패,Major,저장 버튼 클릭 후 500 Internal Server Error,서버 사이드 문서 저장 로직 오류,"편집자 탭 → 서면 작성 → 텍스트 입력 → 저장 클릭",N,screenshots/SCR-06_failure.png,N
SCR-07,증거목록,P1,성공,,,,,N,,N
SCR-08,증거 PDF 뷰어,P1,블로킹,Minor,다음 페이지 버튼 미동작,이벤트 핸들러 미연결 또는 PDF.js 오류,"PDF 뷰어 진입 → 다음 페이지 버튼 클릭",N,screenshots/SCR-08_blocking.png,Y
SCR-09,사건 뷰어,P1,성공,,,,,N,,N
SCR-10,AI 분석,P2,성공,,,,,N,,N
SCR-11,설정,P3,성공,,,,,N,,N
SCR-12,알림,P3,성공,,,,,N,,N
SCR-13,메모,P3,성공,,,,,N,,N
