시나리오ID,화면명,URL,전제조건,테스트단계,기대결과,우선순위,피그마일치여부
SCR-02,사건 목록,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=list-revision,로그인 상태,1. 사건 목록 탭 클릭,사건 목록 표시,P1,일치
SCR-03,사건 의뢰인 요청,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=client_request,로그인 상태,1. 의뢰인 요청 탭 클릭,의뢰인 요청 목록 표시,P2,일치
SCR-04,사건 의뢰인 목록,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=client_list,로그인 상태,1. 의뢰인 목록 탭 클릭,의뢰인 목록 표시,P2,일치
SCR-05,사건 에디터 목록,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=editor,로그인 상태,1. 에디터 탭 클릭,에디터 목록 표시,P2,일치
SCR-06,사건 에디터,https://staging.ailex.co.kr/case-list/editor?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG,로그인 상태,1. 에디터 진입 2. 서면 작성,서면 저장 완료,P1,코드만
SCR-07,증거 목록,https://staging.ailex.co.kr/evidence/list,로그인 상태,1. 증거 목록 접근,증거 파일 목록 표시,P2,일치
SCR-08,증거 PDF,https://staging.ailex.co.kr/evidence/pdf/cdoc_01KK089FYR0HD07J1580F1VXPD,로그인 상태 + 문서ID 보유,1. PDF 클릭,PDF 뷰어 표시,P2,일치
SCR-09,증거 뷰어,https://staging.ailex.co.kr/evidence/case-viewer/cdoc_01KK089FYR0HD07J1580F1VXPD,로그인 상태 + 문서ID 보유,1. 사건 연결 증거 클릭,증거 뷰어 표시,P2,일치
SCR-10,AI,https://staging.ailex.co.kr/ai,로그인 상태 + 구독 활성,1. AI 메뉴 클릭,AI 서면 생성 화면 표시,P1,일치
SCR-11,설정,https://staging.ailex.co.kr/settings,로그인 상태,1. 설정 메뉴 클릭,설정 화면 표시,P3,일치
SCR-12,알림,https://staging.ailex.co.kr/notifications,로그인 상태,1. 알림 아이콘 클릭,알림 목록 표시,P3,코드만
SCR-13,메모,https://staging.ailex.co.kr/memo,로그인 상태,1. 메모 메뉴 클릭,메모 목록 표시,P3,일치
SCR-14,결제,https://staging.ailex.co.kr/payment,로그인 상태,1. 결제 메뉴 클릭,결제 수단 관리 화면 표시,P3,일치
SCR-15,구독,https://staging.ailex.co.kr/subscription,로그인 상태,1. 구독 메뉴 클릭,구독 플랜 목록 표시,P3,일치
wcd-11,,,,,,,
revision,,,,,,,
